Project,Document Name,Hoarder Flag,Similarity,Call,Response
001,001_000.txt,1,0.47589603066444397,"okay. here we go. so as you know, this study is investigating individual attitudes and beliefs related to having hoarding disorder. the first question i have for you is what term do you prefer when we're talking about your difficulties with clutter and difficulties discarding?",what term?
001,001_000.txt,1,0.4973369538784027,yeah. is there a term you prefer?,clutter.
001,001_000.txt,1,0.8691108226776123,clutter.,clutter. not hoarding.
001,001_000.txt,1,0.7179008722305298,all right. perfect.,yeah.
001,001_000.txt,1,0.5349176526069641,"okay. yeah. all right. perfect. thank you. all right. so we're done with the lists. and so the next part is just i'm going to ask you some questions and again, if you're uncomfortable with any of the questions, just let me know. you do not need to answer them. okay?",okay.
001,001_000.txt,1,0.5943054556846619,all right. so could you please describe your clutter problems? how long has this been going on?,"oh my gosh. a long time. i mean, i get lots and lots of mail. i try and go through it and throw things away. i'd say over 20 years."
001,001_000.txt,1,0.5915737152099609,okay. mm-hmm AFFIRMATIVE. how severe would you say this behavior is now?,mildly. moderately severe. moderately. yeah.
001,001_000.txt,1,0.43801194429397583,and do you think this behavior is a problem?,"well, yeah. kind of. because that's why i'm participating in the study because i'd like to get tips on how to stop doing this. you ever heard of somebody called the flylady?"
001,001_000.txt,1,0.2467111349105835,i have not.,oh you haven't? she's a person that deals with clutter. people... yeah. the flylady. and there's a website. and people go to her. and it's basically based on little steps type of thing where you make little steps. people who have been depressed for a long period of time. people who have gone through a death. people who have gone through bad times in their life that that's the last thing they want to do is clean their house and clean up the clutter. so-
001,001_000.txt,1,0.5361177325248718,yeah. okay. have you ever sought to change this behavior?,yes.
001,001_000.txt,1,0.5731890201568604,have you gone to a professional or CROSSTALK-,no.
001,001_000.txt,1,0.9024831652641296,no. okay.,no.
001,001_000.txt,1,0.3273373544216156,okay. and all right. perfect. thank you. that's good. how do your friends and family feel about your behavior?,"they don't know about it because i don't have them over. i mean, my husband and our house, he deals with it. he just deals with it. but my house is kind of unfinished because i have clutter all over the place because i go between two different places where i'm never in the same place long enough. i don't live in one spot. i live in a couple of spots."
